scene_name,frame,time_s,pose.position_m.0,pose.position_m.1,pose.position_m.2,pose.rotation_deg.0,pose.rotation_deg.1,pose.rotation_deg.2,command.label,command.vx_m_s,command.vy_m_s,command.vz_m_s,command.yaw_rate_deg_s,control_mode,crazyflie_asset_path
crazyflie_room_basic,60,1.0210385999962455,-1.45,-0.9,0.7,0.0,0.0,0.0,hover,0.0,0.0,0.0,0.0,keyboard_terminal,https://omniverse-content-production.s3-us-west-2.amazonaws.com/Assets/Isaac/5.1/Isaac/Robots/Bitcraze/Crazyflie/cf2x.usd
crazyflie_room_basic,63,1.0720822000002954,-1.45,-0.9,0.7,0.0,0.0,0.0,hover,0.0,0.0,0.0,0.0,keyboard_terminal,https://omniverse-content-production.s3-us-west-2.amazonaws.com/Assets/Isaac/5.1/Isaac/Robots/Bitcraze/Crazyflie/cf2x.usd
crazyflie_room_basic,66,1.1231203000061214,-1.45,-0.9,0.7,0.0,0.0,0.0,hover,0.0,0.0,0.0,0.0,keyboard_terminal,https://omniverse-content-production.s3-us-west-2.amazonaws.com/Assets/Isaac/5.1/Isaac/Robots/Bitcraze/Crazyflie/cf2x.usd
crazyflie_room_basic,69,1.1741703000006964,-1.45,-0.9,0.7,0.0,0.0,0.0,hover,0.0,0.0,0.0,0.0,keyboard_terminal,https://omniverse-content-production.s3-us-west-2.amazonaws.com/Assets/Isaac/5.1/Isaac/Robots/Bitcraze/Crazyflie/cf2x.usd
crazyflie_room_basic,72,1.22522459999891,-1.45,-0.9,0.7,0.0,0.0,0.0,hover,0.0,0.0,0.0,0.0,keyboard_terminal,https://omniverse-content-production.s3-us-west-2.amazonaws.com/Assets/Isaac/5.1/Isaac/Robots/Bitcraze/Crazyflie/cf2x.usd
crazyflie_room_basic,75,1.2762547000020277,-1.45,-0.9,0.7,0.0,0.0,0.0,hover,0.0,0.0,0.0,0.0,keyboard_terminal,https://omniverse-content-production.s3-us-west-2.amazonaws.com/Assets/Isaac/5.1/Isaac/Robots/Bitcraze/Crazyflie/cf2x.usd
crazyflie_room_basic,78,1.3272971999977017,-1.45,-0.9,0.7,0.0,0.0,0.0,hover,0.0,0.0,0.0,0.0,keyboard_terminal,https://omniverse-content-production.s3-us-west-2.amazonaws.com/Assets/Isaac/5.1/Isaac/Robots/Bitcraze/Crazyflie/cf2x.usd
crazyflie_room_basic,81,1.378357399997185,-1.45,-0.9,0.7,0.0,0.0,0.0,hover,0.0,0.0,0.0,0.0,keyboard_terminal,https://omniverse-content-production.s3-us-west-2.amazonaws.com/Assets/Isaac/5.1/Isaac/Robots/Bitcraze/Crazyflie/cf2x.usd
crazyflie_room_basic,84,1.4293916000024183,-1.45,-0.9,0.7,0.0,0.0,0.0,hover,0.0,0.0,0.0,0.0,keyboard_terminal,https://omniverse-content-production.s3-us-west-2.amazonaws.com/Assets/Isaac/5.1/Isaac/Robots/Bitcraze/Crazyflie/cf2x.usd
crazyflie_room_basic,87,1.4804430000076536,-1.45,-0.9,0.7,0.0,0.0,0.0,hover,0.0,0.0,0.0,0.0,keyboard_terminal,https://omniverse-content-production.s3-us-west-2.amazonaws.com/Assets/Isaac/5.1/Isaac/Robots/Bitcraze/Crazyflie/cf2x.usd
crazyflie_room_basic,90,1.5314789999974892,-1.45,-0.9,0.7,0.0,0.0,0.0,hover,0.0,0.0,0.0,0.0,keyboard_terminal,https://omniverse-content-production.s3-us-west-2.amazonaws.com/Assets/Isaac/5.1/Isaac/Robots/Bitcraze/Crazyflie/cf2x.usd
crazyflie_room_basic,93,1.58253379999951,-1.45,-0.9,0.7,0.0,0.0,0.0,hover,0.0,0.0,0.0,0.0,keyboard_terminal,https://omniverse-content-production.s3-us-west-2.amazonaws.com/Assets/Isaac/5.1/Isaac/Robots/Bitcraze/Crazyflie/cf2x.usd
crazyflie_room_basic,96,1.633563099996536,-1.45,-0.9,0.7,0.0,0.0,0.0,hover,0.0,0.0,0.0,0.0,keyboard_terminal,https://omniverse-content-production.s3-us-west-2.amazonaws.com/Assets/Isaac/5.1/Isaac/Robots/Bitcraze/Crazyflie/cf2x.usd
crazyflie_room_basic,99,1.6846065999998245,-1.45,-0.9,0.7,0.0,0.0,0.0,hover,0.0,0.0,0.0,0.0,keyboard_terminal,https://omniverse-content-production.s3-us-west-2.amazonaws.com/Assets/Isaac/5.1/Isaac/Robots/Bitcraze/Crazyflie/cf2x.usd
